DateTime, Temperature, Humidity, Heating 1, Heating 2, Fan 1 Speed, Fan 2 Speed, Target Temperature
2016-04-17 22:05:49.811815,20.2783862305,54.5290931396,1,1,20,10,23
2016-04-17 22:06:00.939346,20.2783862305,53.6822303467,1,1,20,10,23
2016-04-17 22:06:12.067175,20.2569360352,53.5493131104,1,1,20,10,23
2016-04-17 22:06:23.195097,20.2676611328,54.0926088867,1,1,20,10,23
2016-04-17 22:06:34.322991,20.2998364258,53.6549302979,1,1,20,10,23
2016-04-17 22:06:45.450921,20.2998364258,53.9067003174,1,1,20,10,23
2016-04-17 22:06:56.575342,20.3105615234,53.7175742188,1,1,20,10,23
2016-04-17 22:07:07.703204,20.2891113281,53.7906506348,1,1,20,10,23
2016-04-17 22:07:18.831073,20.3105615234,53.2979575195,1,1,20,10,23
2016-04-17 22:07:29.958919,20.3105615234,53.3971396484,1,1,20,10,23
2016-04-17 22:07:41.086836,20.3212866211,53.7115535889,1,1,20,10,23
2016-04-17 22:07:52.214693,20.3641870117,53.2831131592,1,1,20,10,23
2016-04-17 22:08:03.342620,20.3641870117,53.595918335,1,1,20,10,23
2016-04-17 22:08:14.470449,20.3534619141,53.6934916992,1,1,20,10,23
2016-04-17 22:08:25.598288,20.3641870117,53.6264359131,1,1,20,10,23
2016-04-17 22:08:36.726210,20.3534619141,54.609019043,1,1,20,10,23
2016-04-17 22:08:47.854090,20.3534619141,53.7545268555,1,1,20,10,23
2016-04-17 22:08:58.981997,20.3749121094,53.3762746582,1,1,20,10,23
2016-04-17 22:09:10.109865,20.3749121094,54.0934377441,1,1,20,10,23
2016-04-17 22:09:21.237721,20.3641870117,53.4662186279,1,1,20,10,23
2016-04-17 22:09:32.365589,20.385637207,53.3092188721,1,1,20,10,23
2016-04-17 22:09:43.493492,20.3963623047,53.616003418,1,1,20,10,23
2016-04-17 22:09:54.621284,20.4070874023,53.2895482178,1,1,20,10,23
2016-04-17 22:10:05.749151,20.385637207,54.3239283447,1,1,20,10,23
2016-04-17 22:10:16.877064,20.4070874023,53.465024292,1,1,20,10,23
2016-04-17 22:10:28.004925,20.4178125,53.4971506348,1,1,20,10,23
2016-04-17 22:10:39.132839,20.4178125,53.9549143066,1,1,20,10,23
2016-04-17 22:10:50.260676,20.385637207,54.2857813721,1,1,20,10,23
2016-04-17 22:11:01.388539,20.3963623047,53.7533325195,1,1,20,10,23
2016-04-17 22:11:12.516439,20.4070874023,53.6557591553,1,1,20,10,23
2016-04-17 22:11:23.644277,20.3963623047,53.7685913086,1,1,20,10,23
2016-04-17 22:11:34.772095,20.4178125,53.3293039551,1,1,20,10,23
2016-04-17 22:11:45.899917,20.4285375977,53.6971236572,1,1,20,10,23
2016-04-17 22:11:57.027745,20.4178125,54.4355661621,1,1,20,10,23
2016-04-17 22:12:08.155630,20.4714379883,52.9101016846,1,1,20,10,23
2016-04-17 22:12:19.283456,20.449987793,54.0741815186,1,1,20,10,23
2016-04-17 22:12:30.411458,20.4607128906,53.3204802246,1,1,20,10,23
2016-04-17 22:12:41.539422,20.4714379883,53.2686832275,1,1,20,10,23
2016-04-17 22:12:52.667302,20.449987793,54.4022454834,1,1,20,10,23
2016-04-17 22:13:03.795469,20.4607128906,53.6103972168,1,1,20,10,23
2016-04-17 22:13:14.923340,20.4607128906,53.4196623535,1,1,20,10,23
2016-04-17 22:13:26.047887,20.4607128906,53.8087614746,1,1,20,10,23
2016-04-17 22:13:37.175894,20.4607128906,53.8240202637,1,1,20,10,23
2016-04-17 22:13:48.303937,20.4392626953,54.4311542969,1,1,20,10,23
